,X.1,X,site.name,X1,mean_aqi_2015_from2.5,mean_pm2.5_2015_from2.5,n.obs_2015_from2.5,mean_aqi_2015_from10,mean_pm10_2015_from10,n.obs_2015_from10,mean_aqi_2016_from2.5,mean_pm2.5_2016_from2.5,n.obs_2016_from2.5,mean_aqi_2016_from10,mean_pm10_2016_from10,n.obs_2016_from10,mean_aqi_2017_from2.5,mean_pm2.5_2017_from2.5,n.obs_2017_from2.5,mean_aqi_2017_from10,mean_pm10_2017_from10,n.obs_2017_from10,mean_aqi_2018_from2.5,mean_pm2.5_2018_from2.5,n.obs_2018_from2.5,mean_aqi_2018_from10,mean_pm10_2018_from10,n.obs_2018_from10,mean_aqi_2019_from2.5,mean_pm2.5_2019_from2.5,n.obs_2019_from2.5,mean_aqi_2019_from10,mean_pm10_2019_from10,n.obs_2019_from10,mean_aqi_2020_from2.5,mean_pm2.5_2020_from2.5,n.obs_2020_from2.5,mean_aqi_2020_from10,mean_pm10_2020_from10,n.obs_2020_from10,interstate,distance_feet,distance_mi,name_pp,active_flag,fuel_type,PP_distance_feet,PP_distance_mi,med_income,pop_density,mean_pm2.5_2021_from2.5
29,29,29,Pacific Street,29,NA,NA,NA,32.73595506,36.87078652,178,NA,NA,NA,33.0467033,37.79945055,364,NA,NA,NA,35.65289256,41.39669421,363,NA,NA,NA,31.40607735,35.15469613,362,NA,NA,NA,29.23333333,32.53030303,330,NA,NA,NA,27.5578635,30.40059347,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,30,30,Payne-Phalen Neighborhood,30,41.57731959,10.78247423,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35E,1633.97,0.309464015,United & Children's Hospital,Y,Diesel,12304.91308,2.330974138,30126,11360.63993,NA
31,31,31,Ramsey Health Center,31,32.19491525,7.834745763,118,19.29005525,20.83977901,362,28.97413793,7.228448276,116,16.3715847,17.72131148,366,30.47457627,7.566101695,118,17.6057971,19.0057971,345,35.15789474,8.90877193,114,18.34722222,19.8,360,31.00847458,7.81779661,118,16.75354108,18.101983,353,NA,NA,NA,17.0028169,18.3915493,355,35W/94,158.75,0.030066288,United & Children's Hospital,Y,Diesel,3902.867517,0.739337465,NA,22040.0579,9.763917526
32,32,32,Red Lake Nation,32,20.46961326,5.033425414,362,NA,NA,NA,20.31843575,4.943854749,358,NA,NA,NA,23.51274788,5.72917847,353,NA,NA,NA,25.31818182,6.265625,352,NA,NA,NA,23.67613636,5.981818182,352,NA,NA,NA,23.5821727,5.705013928,359,NA,NA,NA,29,499276.8,94.56,Centennial Generating Station,Y,Diesel,562818.4806,106.6171954,17723,10.38375591,8.060285714
33,33,33,Red Rock Road,33,NA,NA,NA,25.0862069,28,116,NA,NA,NA,22.98305085,25.05932203,118,NA,NA,NA,25.43333333,28.225,120,NA,NA,NA,24.2892562,26.54545455,121,NA,NA,NA,24.88596491,28.06140351,114,NA,NA,NA,23.93258427,26.16853933,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
34,34,34,South St. Anthony Park,34,NA,NA,NA,NA,NA,NA,25.94017094,6.456410256,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,4724.19,0.894732955,Hennepin County Energy Center,Y,Natural gas,14838.24938,2.810875243,23784,1466.471573,NA
35,35,35,Southwest Minnesota Regional Airport,35,22.7247191,5.623033708,356,NA,NA,NA,18.11239193,4.400288184,347,NA,NA,NA,20.61781609,5.002298851,348,NA,NA,NA,24.87428571,6.062571429,350,NA,NA,NA,23.98860399,5.908547009,351,NA,NA,NA,21.55027933,5.270670391,358,NA,NA,NA,29,236544,44.8,Xcel Energy - Minnesota Valley,Y,Diesel,147594.4556,27.95947087,32408,1363.474092,7.373130194
36,36,36,St. Louis Park City Hall,36,28.475,6.908333333,120,NA,NA,NA,25.97457627,6.389830508,118,NA,NA,NA,27.47933884,6.748760331,121,NA,NA,NA,30.87179487,7.678632479,117,NA,NA,NA,28,7.034108527,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,394,8025.6,1.52,Hennepin County Energy Center,Y,Natural gas,23571.65354,4.465282641,45398,6529.298355,9.48559322
37,37,37,St. Michael Elementary School,37,24.78593272,6.086544343,327,NA,NA,NA,25.33524355,6.239255014,349,NA,NA,NA,27.21408451,6.63943662,355,NA,NA,NA,27.8356546,6.866016713,359,NA,NA,NA,22.22316384,5.509039548,354,NA,NA,NA,25.21186441,6.123446328,354,NA,NA,NA,94,10929.6,2.07,Great River Energy - Saint Bonifacius,Y,Diesel,58650.16957,11.11036116,NA,526.2587698,8.835457064
38,38,38,Talahi School,38,23.3816568,5.785798817,338,NA,NA,NA,22.8033241,5.582271468,361,NA,NA,NA,23.89265537,5.810734463,354,NA,NA,NA,26.37891738,6.488034188,351,NA,NA,NA,22.36060606,5.51,330,NA,NA,NA,24.04696133,5.846961326,362,NA,NA,NA,94,20697.6,3.92,Great River Energy - Maple Lake,Y,Diesel,121686.7178,23.05165344,23750,1056.865266,8.848055556
39,39,39,U of M - Duluth,39,20.46,4.976,150,NA,NA,NA,16.58646617,3.991729323,133,NA,NA,NA,18.91851852,4.665185185,135,NA,NA,NA,17.29323308,4.260150376,133,NA,NA,NA,24.69117647,6.033333333,204,NA,NA,NA,29.95238095,7.26442577,357,NA,NA,NA,35,7656,1.45,Duluth Steam Plant 1,Y,Coal,12364.8762,2.342333216,6165,7223.859822,3.40508982
40,40,40,Virginia City Hall,40,26.45070423,6.510422535,355,10.77358491,11.66037736,53,15.15235457,3.672022161,361,10.15254237,11.05084746,59,13.75,3.212359551,356,12.08474576,13.08474576,59,22.70637119,5.628531856,361,13.71153846,14.80769231,52,19.19327731,4.655742297,357,13,14.07407407,54,17.65659341,4.254120879,364,14.48837209,15.69767442,43,35,294940.8,55.86,Virginia Department of Public Utilities,Y,Coal/Natural gas/Biomass,839.0794131,0.158950526,16013,4861.31417,6.373972603
41,41,41,Voyageurs NP - Sullivan Bay,41,16.05172414,3.952586207,116,NA,NA,NA,11.97457627,2.984745763,118,NA,NA,NA,14.19130435,3.403478261,115,NA,NA,NA,13.93103448,3.419827586,116,NA,NA,NA,11.31775701,2.700934579,107,NA,NA,NA,12.27777778,2.936111111,36,NA,NA,NA,11 (CA),118008,22.35,Worthington Diesel Generating Plant,Y,Diesel,2389904.98,452.7302763,NA,1.94571258,3.011320755
