,X.1,X,site.name,ID,PM2.5_2015,AQI_2015,N_2015,PM2.5_2016,AQI_2016,N_2016,PM2.5_2017,AQI_2017,N_2017,PM2.5_2018,AQI_2018,N_2018,PM2.5_2019,AQI_2019,N_2019,Season,interstate,distance_feet,distance_mi,name_pp,active_flag,fuel_type,PP_distance_feet,PP_distance_mi,med_income,PM2.5_2020,AQI_2020,N_2020,PM2.5_2021,AQI_2021,N_2021
78,78,78,Near Road I-35,Near Road I-35_Winter,7.004494382,28,89,7.439772727,30.56818182,88,7.695454545,31.54545455,88,10.07640449,39.93258427,89,8.004494382,32.20224719,89,Winter,35,130.85,0.024782197,Xcel Energy - Blue Lake,Y,Diesel/Natural gas,46701.29154,8.846832322,53808,10.72,41.46666667,90,6.223255814,25.81395349,86
79,79,79,Near Road I-35/I-94,Near Road I-35/I-94_Fall,8.582222222,35.03333333,90,7.472941176,31,85,7.062650602,28.89156627,83,7.474117647,28.61176471,85,7.033333333,28.5,90,Fall,94,111.08,0.021037879,Hennepin County Energy Center,Y,Natural gas,2628.157165,0.497863442,14457,7.766666667,31.40740741,81,5.876404494,24.37078652,89
80,80,80,Near Road I-35/I-94,Near Road I-35/I-94_Spring,7.812328767,32.57534247,73,8.632876712,34.4109589,73,7.14109589,29.5890411,73,6.269863014,26.06849315,73,6.14,25.43076923,65,Spring,94,111.08,0.021037879,Hennepin County Energy Center,Y,Natural gas,2628.157165,0.497863442,14457,6.635869565,27.34782609,92,5.978021978,24.43956044,91
81,81,81,Near Road I-35/I-94,Near Road I-35/I-94_Summer,5.906481481,23.78703704,108,5.30619469,22.18584071,113,7.142477876,29.2920354,113,4.495575221,18.54867257,113,5.887387387,24.31531532,111,Summer,94,111.08,0.021037879,Hennepin County Energy Center,Y,Natural gas,2628.157165,0.497863442,14457,5.481914894,22.08510638,94,10.05851064,36.28723404,94
82,82,82,Near Road I-35/I-94,Near Road I-35/I-94_Winter,11.21910112,43.59550562,89,9.280898876,37.25842697,89,9.194382022,36.97752809,89,12.40625,47.9375,80,10.58202247,41.80898876,89,Winter,94,111.08,0.021037879,Hennepin County Energy Center,Y,Natural gas,2628.157165,0.497863442,14457,11.93888889,45.33333333,90,8.97,36.58888889,90
83,83,83,Payne-Phalen Neighborhood,Payne-Phalen Neighborhood_Fall,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Fall,35E,1633.97,0.309464015,United & Children's Hospital,Y,Diesel,12304.91308,2.330974138,30126,NA,NA,NA,NA,NA,NA
84,84,84,Payne-Phalen Neighborhood,Payne-Phalen Neighborhood_Spring,8.261666667,33.73333333,60,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Spring,35E,1633.97,0.309464015,United & Children's Hospital,Y,Diesel,12304.91308,2.330974138,30126,NA,NA,NA,NA,NA,NA
85,85,85,Payne-Phalen Neighborhood,Payne-Phalen Neighborhood_Summer,14.87027027,54.2972973,37,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Summer,35E,1633.97,0.309464015,United & Children's Hospital,Y,Diesel,12304.91308,2.330974138,30126,NA,NA,NA,NA,NA,NA
86,86,86,Payne-Phalen Neighborhood,Payne-Phalen Neighborhood_Winter,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,Winter,35E,1633.97,0.309464015,United & Children's Hospital,Y,Diesel,12304.91308,2.330974138,30126,NA,NA,NA,NA,NA,NA
87,87,87,Ramsey Health Center,Ramsey Health Center_Fall,7.422222222,30.62962963,27,6.973333333,28.56666667,30,6.786666667,27.46666667,30,7.851851852,29.66666667,27,6.851724138,28,29,Fall,35W/94,158.75,0.030066288,United & Children's Hospital,Y,Diesel,3902.867517,0.739337465,NA,8.596296296,34.2962963,27,7.37,29.2,10
